Nome | seed | Sf5 | Sf300 | Uf5 | Uf300 | FT5 | FT300 
01.txt | 1 | N/A | 128.0 | 0.0 | 66.0 | 5151 | 300163
01.txt | 2 | N/A | 134.0 | 0.0 | 66.0 | 5150 | 300233
01.txt | 3 | N/A | 130.0 | 0.0 | 66.0 | 5187 | 300572
01.txt | 4 | N/A | 139.0 | 0.0 | 66.0 | 5154 | 300618
01.txt | 5 | N/A | 134.0 | 0.0 | 65.0 | 5153 | 300470
01.txt | 6 | N/A | 137.0 | 0.0 | 66.0 | 5164 | 300158
01.txt | 7 | N/A | 139.0 | 0.0 | 66.0 | 5152 | 300953
01.txt | 8 | N/A | 132.0 | 0.0 | 66.0 | 5151 | 300744
01.txt | 9 | N/A | 141.0 | 0.0 | 66.0 | 5147 | 300420
01.txt | 10 | N/A | 127.0 | 0.0 | 66.0 | 5148 | 300257
02.txt | 1 | N/A | N/A | 0.0 | 8.0 | 5210 | 300237
02.txt | 2 | N/A | 134.0 | 0.0 | 8.0 | 5246 | 306516
02.txt | 3 | N/A | N/A | 0.0 | 8.0 | 5233 | 300245
02.txt | 4 | N/A | N/A | 0.0 | 8.0 | 5220 | 302008
02.txt | 5 | N/A | N/A | 0.0 | 7.0 | 5204 | 300198
02.txt | 6 | N/A | 128.0 | 0.0 | 8.0 | 5210 | 300227
02.txt | 7 | N/A | 113.0 | 0.0 | 8.0 | 5236 | 306046
02.txt | 8 | N/A | N/A | 0.0 | 7.0 | 5237 | 300564
02.txt | 9 | N/A | N/A | 0.0 | 8.0 | 5249 | 303312
02.txt | 10 | N/A | N/A | 0.0 | 8.0 | 5199 | 300247
03.txt | 1 | 12.0 | 12.0 | 7.0 | 8.0 | 5011 | 300021
03.txt | 2 | 12.0 | 12.0 | 7.0 | 9.0 | 5018 | 300018
03.txt | 3 | 12.0 | 12.0 | 7.0 | 8.0 | 5011 | 300017
03.txt | 4 | 12.0 | 12.0 | 7.0 | 9.0 | 5011 | 300015
03.txt | 5 | 13.0 | 12.0 | 7.0 | 8.0 | 5012 | 300017
03.txt | 6 | 13.0 | 12.0 | 7.0 | 8.0 | 5012 | 300018
03.txt | 7 | 13.0 | 12.0 | 7.0 | 9.0 | 5011 | 300019
03.txt | 8 | 12.0 | 12.0 | 7.0 | 9.0 | 5011 | 300013
03.txt | 9 | 12.0 | 12.0 | 7.0 | 8.0 | 5011 | 300017
03.txt | 10 | 14.0 | 12.0 | 7.0 | 9.0 | 5012 | 300018
